id,code,category,category_name,name,default_route
RV-EVT-0001,A-FOOT-ROTATION,A,"Physical surveillance and proximity pressure","Foot surveillance with shift rotations",VERIFY
RV-EVT-0002,A-VEHICLE-HANDOFF,A,"Physical surveillance and proximity pressure","Vehicle tailing with handoffs at intersections",VERIFY
RV-EVT-0003,A-STATIC-STAKEOUT,A,"Physical surveillance and proximity pressure","Static stakeouts near residence/office",VERIFY
RV-EVT-0004,A-PUBLIC-TRANSPORT-SHADOW,A,"Physical surveillance and proximity pressure","Shadowing inside public transport",VERIFY
RV-EVT-0005,A-ROUTINE-PRESENCE,A,"Physical surveillance and proximity pressure","Repeated presence at predictable routines (gym, shop)",VERIFY
RV-EVT-0006,A-CLOSE-FOLLOW,A,"Physical surveillance and proximity pressure","Close-follow on foot to test reactions",VERIFY
RV-EVT-0007,A-OVERT-FILMING,A,"Physical surveillance and proximity pressure","Overt filming/photography in sight",VERIFY
RV-EVT-0008,A-COVERT-FILMING,A,"Physical surveillance and proximity pressure","Covert filming from windows or parked cars",VERIFY
RV-EVT-0009,A-STORE-STAFF-SHADOW,A,"Physical surveillance and proximity pressure","Store staff always around during visits",VERIFY
RV-EVT-0010,A-ELEVATOR-SHADOW,A,"Physical surveillance and proximity pressure","Elevator shadowing and door-block maneuvers",VERIFY
RV-EVT-0011,A-STAIRWELL-MIRROR,A,"Physical surveillance and proximity pressure","Stairwell mirroring (up/down)",VERIFY
RV-EVT-0012,A-CHANCE-MEETING,A,"Physical surveillance and proximity pressure","Street-corner chance meetings (scripted)",VERIFY
RV-EVT-0013,A-REPEATED-PATH-CROSS,A,"Physical surveillance and proximity pressure","We just crossed paths again repetitions",VERIFY
RV-EVT-0014,A-IDLING-VEHICLE-OBSERVE,A,"Physical surveillance and proximity pressure","Unmarked vehicle idling with driver observing",VERIFY
RV-EVT-0015,A-DRONE-HOVER,A,"Physical surveillance and proximity pressure","Drone hovering in visual range",VERIFY
RV-EVT-0016,A-NEIGHBOR-WATCH,A,"Physical surveillance and proximity pressure","Coordinated neighbor watch (curtains move on arrival)",VERIFY
RV-EVT-0017,A-GPS-SCOOTER-TAIL,A,"Physical surveillance and proximity pressure","GPS-enabled scooter/bike tailing",VERIFY
RV-EVT-0018,A-DOG-WALKER-TRAIL,A,"Physical surveillance and proximity pressure","Trailing dog-walkers who appear repeatedly",VERIFY
RV-EVT-0019,A-CONSTRUCTION-ALONG-ROUTE,A,"Physical surveillance and proximity pressure","Construction crews suddenly working along route",VERIFY
RV-EVT-0020,A-SECURITY-RANDOM-CHECKS,A,"Physical surveillance and proximity pressure","Security guards random checks focused on target",VERIFY
RV-EVT-0021,B-KNOW-EVERYTHING-CHANT,B,"Performances and intimidation theater","We know everything chant/phrases overheard",IGNORE
RV-EVT-0022,B-STAGED-CALL-PRIVATE-DETAILS,B,"Performances and intimidation theater","Staged phone calls near you with private details",IGNORE
RV-EVT-0023,B-LOUD-SCHEDULE-COMMENT,B,"Performances and intimidation theater","Loud commentary about your schedule in public",IGNORE
RV-EVT-0024,B-ACTORS-NAME-USE,B,"Performances and intimidation theater","Actors using your name in conversations",IGNORE
RV-EVT-0025,B-DROPPED-DATA-DOCS,B,"Performances and intimidation theater","Dropped documents with your data in your path",IGNORE
RV-EVT-0026,B-FLASH-MOB-SIGNS,B,"Performances and intimidation theater","Flash mobs near your route with suggestive signs",IGNORE
RV-EVT-0027,B-LICENSE-PLATE-CODES,B,"Performances and intimidation theater","License plates with coded messages (pattern priming)",IGNORE
RV-EVT-0028,B-STRANGERS-REPEAT-ACTIONS,B,"Performances and intimidation theater","Random strangers repeating your recent actions",IGNORE
RV-EVT-0029,B-STORE-DISPLAY-ALTER,B,"Performances and intimidation theater","Store displays altered to reference your data",IGNORE
RV-EVT-0030,B-LASER-WINDOW-BEDTIME,B,"Performances and intimidation theater","Laser pointers at windows at bedtime",VERIFY
RV-EVT-0031,B-NIGHT-CAR-HONKS,B,"Performances and intimidation theater","Nighttime car honks timed to your lights off",IGNORE
RV-EVT-0032,B-DOOR-KNOCK-VANISH,B,"Performances and intimidation theater","Door knocks with no one present (knock-and-vanish)",IGNORE
RV-EVT-0033,B-OBJECT-DOORSTEP,B,"Performances and intimidation theater","Object placement on doorstep (anonymous tokens)",VERIFY
RV-EVT-0034,B-LOUD-BANGS-CALLS,B,"Performances and intimidation theater","Sudden loud bangs timed to key calls or emails",VERIFY
RV-EVT-0035,B-HARASSMENT-SYNCH,B,"Performances and intimidation theater","Street harassment synchronized across locations",VERIFY
RV-EVT-0036,B-MOCK-INTERROGATION,B,"Performances and intimidation theater","Public mock interrogation performances",IGNORE
RV-EVT-0037,B-SINGING-YOUR-SONG,B,"Performances and intimidation theater","Singing/whistling your song as you pass",IGNORE
RV-EVT-0038,B-COINCIDENCE-SYMBOLS,B,"Performances and intimidation theater","Coincidences aligning numbers, colors, symbols",IGNORE
RV-EVT-0039,B-STREET-SIGNAGE-ALTER,B,"Performances and intimidation theater","Street signage temporarily altered for you",VERIFY
RV-EVT-0040,B-PROJECTED-LIGHTS,B,"Performances and intimidation theater","Projected lights into windows (morse-like)",VERIFY
RV-EVT-0041,C-OBJECT-DISPLACEMENT,C,"Residential intrusions (overt/covert)","Minor object displacement at home",HARDEN
RV-EVT-0042,C-THERMOSTAT-CHANGE,C,"Residential intrusions (overt/covert)","Thermostat settings changed overnight",HARDEN
RV-EVT-0043,C-APPLIANCE-TOGGLE,C,"Residential intrusions (overt/covert)","Appliances turned on/off unexpectedly",HARDEN
RV-EVT-0044,C-WINDOW-UNLOCKED,C,"Residential intrusions (overt/covert)","Windows unlocked/partially opened",ESCALATE
RV-EVT-0045,C-FOOTPRINTS-INDOOR,C,"Residential intrusions (overt/covert)","Traceable footprints or scuffs indoors",ESCALATE
RV-EVT-0046,C-HIDDEN-CAMERA,C,"Residential intrusions (overt/covert)","Hidden camera discovery (obvious or badly placed)",ESCALATE
RV-EVT-0047,C-SMARTLOCK-UNKNOWN-ACCESS,C,"Residential intrusions (overt/covert)","Smart lock logs showing unknown access",ESCALATE
RV-EVT-0048,C-UTILITY-ANOMALY,C,"Residential intrusions (overt/covert)","Water/electricity usage anomalies",VERIFY
RV-EVT-0049,C-UNSCHEDULED-MAINTENANCE,C,"Residential intrusions (overt/covert)","Maintenance visits without prior notice",VERIFY
RV-EVT-0050,C-PET-AGITATION,C,"Residential intrusions (overt/covert)","Pet agitation aligned with suspected intrusions",VERIFY
RV-EVT-0051,D-CREDENTIAL-STUFFING,D,"Digital account and device threats","Credential stuffing from known breaches",HARDEN
RV-EVT-0052,D-PASSWORD-RESET-PROMPT,D,"Digital account and device threats","Password reset prompts you did not trigger",HARDEN
RV-EVT-0053,D-NEW-LOGIN-UNUSUAL,D,"Digital account and device threats","New login from unusual geo/device",HARDEN
RV-EVT-0054,D-MFA-FATIGUE,D,"Digital account and device threats","MFA fatigue (push-bombing) attempts",HARDEN
RV-EVT-0055,D-SESSION-HIJACK-OAUTH,D,"Digital account and device threats","Session hijack via OAuth token reuse",HARDEN
RV-EVT-0056,D-SIM-SWAP-ATTEMPT,D,"Digital account and device threats","SIM swap or attempted SIM swap",ESCALATE
RV-EVT-0057,D-VOICEMAIL-PIN-BRUTE,D,"Digital account and device threats","Voicemail PIN brute forcing",HARDEN
RV-EVT-0058,D-EMAIL-RULE-INJECTION,D,"Digital account and device threats","Email rule injection (auto-forward/auto-delete)",HARDEN
RV-EVT-0059,D-RECOVERY-OPTION-ALTER,D,"Digital account and device threats","Account recovery options altered silently",HARDEN
RV-EVT-0060,D-PHISH-SECURITY-ALERT,D,"Digital account and device threats","Security alert phishing imitating your providers",HARDEN
RV-EVT-0061,D-MOBILE-CONFIG-MALICIOUS,D,"Digital account and device threats","Malicious mobile config profiles (MDM-like)",HARDEN
RV-EVT-0062,D-APP-SIDELOAD-PROMPT,D,"Digital account and device threats","App sideloading prompts disguised as updates",HARDEN
RV-EVT-0063,D-MALVERTISING-DRIVEBY,D,"Digital account and device threats","Malvertising drive-by installs",HARDEN
RV-EVT-0064,D-BROWSER-EXT-DATA-EXFIL,D,"Digital account and device threats","Browser extension with data exfiltration behavior",HARDEN
RV-EVT-0065,D-KEYCHAIN-MANIPULATION,D,"Digital account and device threats","Keychain/keyring manipulation",ESCALATE
RV-EVT-0066,D-CLOUD-SHARE-LEAK,D,"Digital account and device threats","Cloud storage sharing link leakage",HARDEN
RV-EVT-0067,D-UNAUTH-API-TOKEN,D,"Digital account and device threats","Unauthorized API tokens in dev consoles",HARDEN
RV-EVT-0068,D-UNKNOWN-BLUETOOTH-PAIR,D,"Digital account and device threats","Device pairing to unknown Bluetooth/CarPlay",HARDEN
RV-EVT-0069,D-WIFI-EVIL-TWIN,D,"Digital account and device threats","Wi-Fi Evil Twin (SSID spoof) capture",HARDEN
RV-EVT-0070,D-ROGUE-DNS-CAPPORT,D,"Digital account and device threats","Rogue DNS or captive portal injection",HARDEN
RV-EVT-0071,E-ROUTER-CONFIG-TAMPER,E,"Network and endpoint compromise vectors","Home router config tampering (admin creds reused)",HARDEN
RV-EVT-0072,E-ISP-DNS-MANIPULATION,E,"Network and endpoint compromise vectors","ISP-level DNS manipulation or injection",ESCALATE
RV-EVT-0073,E-ARP-SPOOFING,E,"Network and endpoint compromise vectors","ARP spoofing on shared/public networks",HARDEN
RV-EVT-0074,E-IOT-PIVOT,E,"Network and endpoint compromise vectors","IoT devices exploited as pivot points",HARDEN
RV-EVT-0075,E-SMB-OPEN-SHARE,E,"Network and endpoint compromise vectors","SMB/open shares exposed inadvertently",HARDEN
RV-EVT-0076,E-PRINTER-MEMORY-LEAK,E,"Network and endpoint compromise vectors","Printer/scanner memory leaks of documents",VERIFY
RV-EVT-0077,E-OFFICE-MACRO-WEAPON,E,"Network and endpoint compromise vectors","Office suite macros weaponized (doc, xls, ppt)",HARDEN
RV-EVT-0078,E-BROWSER-CREDENTIAL-THEFT,E,"Network and endpoint compromise vectors","Browser credential theft (non-isolated profile)",HARDEN
RV-EVT-0079,E-CLIPBOARD-HIJACK,E,"Network and endpoint compromise vectors","Clipboard hijacking (passwords/keys copied)",HARDEN
RV-EVT-0080,E-RDP-ENABLE-UNAUTH,E,"Network and endpoint compromise vectors","Remote desktop enablement without consent",ESCALATE
RV-EVT-0081,E-HIDDEN-ACCOUNT-BACKDOOR,E,"Network and endpoint compromise vectors","Hidden accounts or backdoor services created",ESCALATE
RV-EVT-0082,E-FIRMWARE-DOWNGRADE,E,"Network and endpoint compromise vectors","Firmware downgrade/replace attempts",ESCALATE
RV-EVT-0083,E-SUPPLYCHAIN-TROJAN,E,"Network and endpoint compromise vectors","Supply-chain trojaned installer usage",ESCALATE
